,UIID,label,xmin,xmax,ymin,ymax
52,12970.json,search_button,319.25,360.0,21.0,61.75
53,12970.json,icon_button,278.5,319.25,21.0,61.75
54,12970.json,cart_icon_button,237.75,278.5,21.0,61.75
55,12970.json,text_view,4.5,85.5,69.0,85.5
56,12970.json,text_view,85.5,156.25,69.0,85.5
57,12970.json,text_view,287.75,355.5,66.0,88.25
58,12970.json,filter_button,287.75,355.5,66.0,88.25
59,12970.json,image_view,22.5,83.75,107.25,168.5
60,12970.json,button,8.75,97.5,177.25,203.0
61,12970.json,text_view,106.5,355.5,101.75,132.5
62,12970.json,text_view,106.5,155.0,132.5,144.25
63,12970.json,price_s,318.25,355.5,144.25,158.5
64,12970.json,image_view,102.0,175.5,162.75,175.5
65,12970.json,text_view,182.5,198.0,160.75,177.25
66,12970.json,price,301.5,355.5,158.5,179.75
67,12970.json,text_view,106.5,235.5,184.25,199.75
68,12970.json,text_view,106.5,254.75,184.25,213.0
69,12970.json,image_view,22.5,83.75,232.5,293.75
70,12970.json,button,8.75,97.5,302.5,328.25
71,12970.json,text_view,106.5,355.5,227.0,257.75
72,12970.json,text_view,106.5,155.0,257.75,269.5
73,12970.json,price_s,318.25,355.5,269.5,283.75
74,12970.json,price,301.5,355.5,283.75,305.0
75,12970.json,text_view,106.5,235.5,309.5,325.0
76,12970.json,text_view,106.5,254.75,309.5,338.25
77,12970.json,image_view,22.5,83.75,350.5,411.75
78,12970.json,button,8.75,97.5,420.5,446.25
79,12970.json,text_view,106.5,346.25,352.25,368.75
80,12970.json,text_view,106.5,195.25,368.75,380.5
81,12970.json,price_s,318.25,355.5,380.5,394.75
82,12970.json,price,301.5,355.5,394.75,416.0
83,12970.json,text_view,106.5,235.5,420.5,436.0
84,12970.json,text_view,106.5,254.75,420.5,449.25
85,12970.json,image_view,22.5,83.75,461.5,522.75
86,12970.json,button,8.75,97.5,531.5,557.25
87,12970.json,text_view,106.5,346.25,463.25,479.75
88,12970.json,text_view,106.5,195.25,479.75,491.5
89,12970.json,price_s,318.25,355.5,491.5,505.75
90,12970.json,price,301.5,355.5,505.75,527.0
91,12970.json,text_view,106.5,235.5,531.5,547.0
92,12970.json,text_view,106.5,254.75,531.5,559.5
93,12970.json,button,0.0,359.0,559.0,597.0
94,12970.json,card,0.0,359.0,93.0,218.0
95,12970.json,card,-1.0000000000000053,359.0,218.3333333333333,341.0
96,12970.json,card,-0.6666666666666909,359.0,341.66666666666663,454.0
97,12970.json,card_partial,-0.6666666666666909,359.0,456.33333333333326,560.0
98,Soliha_screen_0359.json,icon_button,0.0,196.0,84.0,280.0
99,Soliha_screen_0359.json,label,255.0,684.0,156.0,224.0
100,Soliha_screen_0359.json,text_field,175.0,1384.0,348.0,433.0
101,Soliha_screen_0359.json,button,7.0,281.0,2602.0,2774.0
102,Soliha_screen_0359.json,button,295.0,569.0,2602.0,2774.0
103,Soliha_screen_0359.json,button,583.0,857.0,2602.0,2774.0
104,Soliha_screen_0359.json,button,871.0,1145.0,2602.0,2774.0
105,Soliha_screen_0359.json,button,1159.0,1433.0,2602.0,2774.0
106,18887.json,button,26.25,333.75,520.25,571.75
107,18887.json,button,26.25,333.75,460.0,511.5
108,18887.json,image_view,9.666666666666664,349.0,40.333333333333336,254.33333333333334
109,41554.json,image_view,49.0,311.0,104.75,144.5
110,41554.json,email,42.0,318.0,224.0,258.75
111,41554.json,password,42.0,318.0,271.25,306.0
112,41554.json,icon_button,290.0,318.0,271.25,310.5
113,41554.json,log_in,42.0,318.0,320.5,362.5
114,41554.json,tb_forgot_password,119.75,240.0,362.5,404.5
115,41554.json,fb_button,42.66666666666666,318.66666666666663,458.4166666666667,500.4166666666667
116,41554.json,google_button,42.0,318.0,496.5,538.5
117,41554.json,tb_sign_up,42.0,318.0,549.0,591.0
118,18868.json,image_view,92.5,267.5,78.0,124.0
119,18868.json,fb_button,40.75,319.25,146.0,191.0
120,18868.json,twitter_button,40.75,319.25,208.5,253.5
121,18868.json,separator_line,0.0,315.0,275.0,277.25
122,18868.json,username,60.5,299.25,294.75,334.25
123,18868.json,separator_line,60.5,299.25,334.25,335.25
124,18868.json,password,60.5,299.25,335.25,374.75
125,18868.json,log_in,40.75,319.25,392.25,437.25
126,18868.json,tb_forgot_password,65.0,158.0,565.5,593.5
127,18868.json,tb_sign_up,172.25,295.6666666666667,565.5,593.0
128,18868.json,tb_sign_up,226.0,294.75,565.5,593.5
129,16525.json,image_view,48.75,311.25,43.0,86.75
130,16525.json,text_view,93.75,266.25,100.0,119.0
131,16525.json,image_view,86.0,95.25,141.25,150.5
132,16525.json,text_view,99.75,273.75,136.5,155.5
133,16525.json,sign_up,17.5,342.5,452.75,510.0
134,16525.json,log_in,17.5,342.5,523.25,580.5
135,65772.json,image_view,-0.8333333333333286,359.0,20.58333333333333,251.0
136,65772.json,image_view,57.0,92.0,269.25,304.25
137,65772.json,separator_line_v,92.0,93.0,269.25,304.25
138,65772.json,fb_button,56.66666666666667,303.0,269.0,304.25
139,65772.json,text_view,79.25,280.75,304.25,320.5
140,65772.json,image_view,57.0,92.0,338.0,373.0
141,65772.json,separator_line_v,92.0,93.0,338.0,373.0
142,65772.json,email_button,56.0,303.0,337.0,373.0
143,65772.json,log_in,57.0,303.0,390.5,425.5
144,65772.json,tb_privacy_terms,52.5,307.5,434.25,446.0
145,65772.json,tb_privacy_terms,52.5,307.5,454.75,466.5
146,Soliha_screen_0135.json,icon_button,0.0,196.0,84.0,280.0
147,Soliha_screen_0135.json,image,1258.0,1440.0,98.0,266.0
148,Soliha_screen_0135.json,label,534.0,756.0,591.0,629.0
149,Soliha_screen_0135.json,label,532.0,1320.166666666667,671.0,1216.1666666666667
150,Soliha_screen_0135.json,label,536.0,892.0,1255.0,1307.0
151,Soliha_screen_0135.json,label,61.0,458.0,1491.0,1544.0
152,Soliha_screen_0135.json,label,200.0,928.0,1655.0,1702.0
153,Soliha_screen_0135.json,label,200.0,896.0,1823.0,1870.0
154,Soliha_screen_0135.json,label,200.0,1184.0,1991.0,2038.0
155,Soliha_screen_0135.json,label,200.0,810.0,2159.0,2206.0
156,Soliha_screen_0135.json,label,200.0,974.0,2329.0,2374.0
157,Soliha_screen_0135.json,button,0.0,1440.0,2429.0,2602.0
158,Soliha_screen_0135.json,label,61.0,492.0,2661.0,2714.0
159,Soliha_screen_0135.json,label,256.0,743.0,374.0,427.0
160,Soliha_screen_0135.json,image,57.66666666666674,478.5,532.8333333333334,1357.8333333333335
161,Soliha_screen_0135.json,icon,32.66666666666674,145.16666666666674,1616.1666666666667,1732.8333333333335
162,Soliha_screen_0135.json,icon,34.83333333333326,147.33333333333326,1785.0,1901.6666666666667
163,Soliha_screen_0135.json,icon,37.0,149.5,1953.8333333333335,2070.5000000000005
164,Soliha_screen_0135.json,icon,35.0,147.5,2118.5,2235.166666666667
165,Soliha_screen_0135.json,icon,37.166666666666515,149.66666666666652,2287.3333333333335,2404.0000000000005
166,Soliha_screen_0135.json,icon,89.00000000000023,201.50000000000023,339.1666666666667,455.8333333333334
167,Soliha_screen_0135.json,label,574.3333333333335,857.666666666667,137.0,224.5
168,11433.json,text_view,0.0,360.0,70.0,100.75
169,11433.json,text_view,14.0,177.75,116.25,137.5
170,11433.json,name,182.25,346.0,117.5,136.5
171,11433.json,separator_line,8.75,360.0,153.25,153.5
172,11433.json,text_view,14.0,177.75,169.0,190.25
173,11433.json,last_name,182.25,346.0,170.25,189.25
174,11433.json,separator_line,8.75,360.0,206.0,206.25
175,11433.json,text_view,14.0,177.75,221.75,243.0
176,11433.json,phone_number,182.25,346.0,223.0,242.0
177,11433.json,separator_line,8.75,360.0,258.75,259.0
178,11433.json,text_view,14.0,177.75,274.5,295.75
179,11433.json,number,182.25,346.0,275.75,294.75
180,11433.json,separator_line,8.75,360.0,311.5,311.75
181,11433.json,text_view,0.0,360.0,320.5,351.25
182,11433.json,text_view,14.0,177.75,366.75,388.0
183,11433.json,email,182.25,346.0,368.0,387.0
184,11433.json,separator_line,8.75,360.0,403.75,404.0
185,11433.json,text_view,14.0,177.75,419.5,440.75
186,11433.json,password,182.25,346.0,420.75,439.75
187,11433.json,separator_line,8.75,360.0,456.5,456.75
188,11433.json,text_view,14.0,177.75,472.25,493.5
189,11433.json,password,182.25,346.0,473.5,492.5
190,11433.json,separator_line,8.75,360.0,509.25,509.5
191,11433.json,text_view,14.0,177.75,525.0,545.5
192,11433.json,security_question,182.25,336.3333333333333,514.75,543.6666666666666
193,11433.json,sign_up,0.0,360.0,545.5,598.0
194,11433.json,menu_dots,325.0,360.0,24.5,66.5
195,11433.json,text_view,63.666666666666686,199.41666666666669,33.75,57.0
196,11433.json,icon_button,0.0,49.0,21.0,70.0
197,Soliha_screen_0565.json,label,112.0,369.0,84.0,96.0
198,Soliha_screen_0565.json,label,1232.0,1384.0,84.0,105.0
199,Soliha_screen_0565.json,image,126.0,224.0,693.0,791.0
200,Soliha_screen_0565.json,label,461.0,512.0,730.0,760.0
201,Soliha_screen_0565.json,label,84.0,573.0,874.0,1043.0
202,Soliha_screen_0565.json,image,804.0,902.0,961.0,1059.0
203,Soliha_screen_0565.json,label,1153.0,1217.0,998.0,1028.0
204,Soliha_screen_0565.json,image,112.0,210.0,1770.0,1868.0
205,Soliha_screen_0565.json,label,456.0,525.0,1807.0,1837.0
206,Soliha_screen_0565.json,image,112.0,210.0,2303.0,2401.0
207,Soliha_screen_0565.json,label,462.0,525.0,2340.0,2370.0
208,Soliha_screen_0565.json,image,804.0,902.0,1971.0,2069.0
209,Soliha_screen_0565.json,label,1151.0,1218.0,2008.0,2038.0
210,Soliha_screen_0565.json,image,57.66666666666674,686.8333333333335,157.83333333333334,845.3333333333334
211,Soliha_screen_0565.json,image,51.49999999999977,686.8333333333335,1160.0,1741.1666666666667
212,Soliha_screen_0565.json,image,49.49999999999977,684.8333333333335,1953.8333333333335,2535.0
213,Soliha_screen_0565.json,image,753.6666666666667,1386.8333333333335,157.99999999999994,932.8333333333334
214,Soliha_screen_0565.json,image,755.8333333333337,1389.0000000000005,1168.5,1943.3333333333335
215,Soliha_screen_0565.json,image,758.0000000000002,1386.8333333333335,2179.0,2782.8333333333335
216,15889.json,text_view,63.0,242.5,36.75,54.25
217,15889.json,icon_button,0.0,49.0,21.0,70.0
218,15889.json,email,24.5,335.5,94.5,129.5
219,15889.json,password,24.5,335.5,136.5,171.5
220,15889.json,log_in,24.5,335.5,185.5,227.5
221,15889.json,fb_button,24.5,335.5,234.5,276.5
222,15889.json,tb_forgot_password,24.5,176.5,283.5,325.5
223,15889.json,sign_up,183.5,335.5,283.5,325.5
224,60989.json,text_view,0.0,360.0,530.25,563.0
225,60989.json,sign_up,0.0,119.75,563.0,598.0
226,60989.json,separator_line_v,119.75,120.0,563.0,598.0
227,60989.json,button,120.0,239.75,563.0,598.0
228,60989.json,separator_line_v,239.75,240.0,563.0,598.0
229,60989.json,button,240.0,360.0,563.0,598.0
230,60989.json,image_view,0.0,360.0,21.0,250.25
231,60989.json,image_view,48.75,311.25,274.75,318.5
232,60989.json,username,59.25,300.75,318.5,350.75
233,60989.json,password,59.25,300.75,357.75,390.0
234,60989.json,text_view,59.25,194.5,401.0,417.5
235,60989.json,toggle,204.75,300.75,397.0,421.5
236,60989.json,log_in,59.25,300.75,428.5,465.25
237,60989.json,navigation_bar,0.3333333333333339,359.0,563.0,597.0
238,39909.json,image_view,99.5,260.5,24.5,80.5
239,39909.json,image_view,0.25,359.0,80.5,301.0
240,39909.json,text_view,0.25,360.0,303.0,368.75
241,39909.json,text_view,0.0,0.75,303.0,368.75
242,39909.json,navigation_dots,162.0,197.0,368.75,375.6666666666667
243,39909.json,sign_up,28.0,332.0,403.75,447.5
244,39909.json,fb_button,28.0,332.0,454.5,498.25
245,39909.json,tb_log_in,28.0,332.0,501.75,539.25
246,39909.json,text_view,0.0,360.0,553.25,584.0
247,Soliha_screen_0070.json,label,298.0,443.0,341.0,377.0
248,Soliha_screen_0070.json,label,623.0,820.0,340.0,377.0
249,Soliha_screen_0070.json,label,999.0,1248.0,340.0,387.0
250,Soliha_screen_0070.json,button,1272.0,1356.0,529.0,613.0
251,Soliha_screen_0070.json,label,270.0,624.3333333333335,1247.0,1345.3333333333335
252,Soliha_screen_0070.json,button,1272.0,1356.0,1496.0,1580.0
253,Soliha_screen_0070.json,button,1272.0,1356.0,2387.0,2471.0
254,Soliha_screen_0070.json,label,101.0,259.0,2717.0,2754.0
255,Soliha_screen_0070.json,label,482.0,597.0,2718.0,2764.0
256,Soliha_screen_0070.json,label,765.0,1037.0,2717.0,2754.0
257,Soliha_screen_0070.json,label,1193.0,1328.0,2718.0,2754.0
258,Soliha_screen_0070.json,label,282.0,904.0,161.0,215.0
259,Soliha_screen_0070.json,image,1006.0,1174.0,98.0,266.0
260,Soliha_screen_0070.json,image,86.83333333333348,916.0,695.3333333333334,1166.1666666666667
261,Soliha_screen_0070.json,image,78.5,482.66666666666697,1662.0,2074.5
262,Soliha_screen_0070.json,label,82.66666666666674,478.5,2107.8333333333335,2212.0
263,Soliha_screen_0070.json,label,91.0,607.666666666667,512.0,632.8333333333334
264,Soliha_screen_0070.json,image,95.16666666666674,211.83333333333348,1224.5,1349.5
265,Soliha_screen_0070.json,image,514.0000000000002,918.1666666666672,1655.8333333333335,2068.3333333333335
266,Soliha_screen_0070.json,image,957.8333333333333,1362.0000000000002,1662.1666666666667,2074.666666666667
267,Soliha_screen_0070.json,label,518.1666666666667,914.0,2105.8333333333335,2210.0
268,Soliha_screen_0070.json,label,953.6666666666667,1349.5,2108.0000000000005,2212.166666666667
269,Soliha_screen_0070.json,image,1183.1666666666665,1351.1666666666665,100.16666666666663,268.16666666666663
270,Soliha_screen_0070.json,image,97.83333333333326,265.83333333333326,102.33333333333331,270.3333333333333
271,Soliha_screen_0070.json,label,76.33333333333303,757.666666666667,2357.5,2495.3333333333335
272,Soliha_screen_0070.json,icon,116.0,249.33333333333348,2620.3333333333335,2703.666666666667
273,Soliha_screen_0070.json,icon,476.5000000000002,609.8333333333337,2622.5000000000005,2705.833333333334
274,Soliha_screen_0070.json,icon,832.8333333333333,966.1666666666667,2628.8333333333335,2712.166666666667
275,Soliha_screen_0070.json,icon,1189.1666666666667,1322.5000000000002,2622.666666666667,2706.0000000000005
276,15866.json,text_view,57.75,160.75,401.5,418.0
277,15866.json,rating_bar,57.75,145.25,418.0,435.5
278,15866.json,text_view,61.25,153.75,434.75,451.25
279,15866.json,text_view,57.75,226.25,451.25,467.75
280,15866.json,text_view,57.75,199.5,467.75,484.25
281,15866.json,image_view,10.5,38.5,392.5,420.5
282,15866.json,edit_text,0.0,360.0,514.0,556.0
283,15866.json,icon_button,0.0,42.0,556.0,598.0
284,15866.json,icon_button,42.0,84.0,556.0,598.0
285,15866.json,icon_button,84.0,126.0,556.0,598.0
286,15866.json,image_view,0.0,360.0,21.0,199.25
287,15866.json,image_view,10.5,52.5,199.25,248.25
288,15866.json,price,52.5,100.5,206.0,227.25
289,15866.json,text_view,107.5,113.5,211.25,227.25
290,15866.json,price,120.5,161.25,211.25,227.25
291,15866.json,text_view,52.5,170.0,227.25,241.5
292,15866.json,separator_line,0.0,360.0,248.25,249.25
293,15866.json,button,0.0,180.0,249.25,291.25
294,15866.json,buy,180.0,360.0,249.25,291.25
295,15866.json,icon_button,0.0,45.5,33.75,57.0
296,15866.json,text_view,45.5,151.75,33.75,57.0
297,15866.json,icon_button,318.0,360.0,24.5,66.5
298,15866.json,box_outline,47.666666666666664,347.6666666666667,392.3333333333333,495.0
299,26255.json,image_view,112.0,247.75,70.0,205.75
300,26255.json,text_view,82.5,277.25,205.75,236.25
301,26255.json,text_view,112.5,247.25,250.25,286.25
302,26255.json,twitter_button,28.0,332.0,321.25,363.25
303,26255.json,fb_button,28.0,174.75,373.75,415.75
304,26255.json,email_button,185.25,332.0,373.75,415.75
305,26255.json,text_button,28.0,332.0,556.0,598.0
306,51368.json,image_view,91.5,268.25,49.0,141.0
307,51368.json,text_view,0.0,360.0,178.5,335.75
308,51368.json,button,28.0,332.0,504.5,553.5
309,51368.json,text_button,0.0,360.0,567.5,598.0
310,Soliha_screen_0420.json,icon_button,0.0,196.0,84.0,280.0
311,Soliha_screen_0420.json,label,253.0,903.0,159.0,219.0
312,Soliha_screen_0420.json,button,1272.0,1440.0,98.0,266.0
313,Soliha_screen_0420.json,label,295.16666666666674,995.0,349.5,489.0
314,Soliha_screen_0420.json,label,295.16666666666674,1147.0,607.8333333333334,760.0
315,Soliha_screen_0420.json,label,295.16666666666674,1205.0,891.1666666666667,1032.0
316,Soliha_screen_0420.json,label,291.0,1277.0,1162.0,1302.0
317,Soliha_screen_0420.json,label,291.0,929.0,1428.6666666666667,1569.0
318,Soliha_screen_0420.json,label,291.0,1378.0,1707.8333333333335,1844.0
319,Soliha_screen_0420.json,label,295.16666666666674,1066.0,1974.5,2115.0
320,Soliha_screen_0420.json,label,291.0,1154.0,2249.5,2386.0
321,Soliha_screen_0420.json,label,286.83333333333326,1295.8333333333333,2507.8333333333335,2658.0
322,Soliha_screen_0420.json,image,20.166666666666742,232.66666666666674,341.1666666666667,520.3333333333334
323,Soliha_screen_0420.json,image,18.166666666666515,236.83333333333326,593.3333333333334,791.1666666666667
324,Soliha_screen_0420.json,image,20.333333333333258,239.0,866.3333333333335,1064.1666666666667
325,Soliha_screen_0420.json,image,18.333333333333258,237.0,1122.6666666666667,1320.5
326,Soliha_screen_0420.json,image,16.333333333333258,235.0,1391.5,1589.3333333333333
327,Soliha_screen_0420.json,image,18.5,237.16666666666674,1664.5,1862.3333333333333
328,Soliha_screen_0420.json,image,24.833333333333258,243.5,1950.0,2147.833333333333
329,Soliha_screen_0420.json,image,22.833333333333258,241.5,2214.666666666667,2412.5
330,Soliha_screen_0420.json,image,25.0,243.66666666666674,2475.166666666667,2673.0
331,10367.json,text_view,3.5,76.5,74.5,93.5
332,10367.json,image_view,170.25,305.5,63.0,105.0
333,10367.json,separator_line_v,305.5,306.5,75.25,92.75
334,10367.json,text_view,306.5,360.0,63.0,105.0
335,10367.json,image_view,4.5,83.25,109.25,166.25
336,10367.json,text_view,87.75,351.0,121.25,137.75
337,10367.json,text_view,87.75,246.75,137.75,154.25
338,10367.json,separator_line,4.5,355.5,169.75,170.75
339,10367.json,image_view,4.5,83.25,174.75,231.75
340,10367.json,text_view,87.75,351.0,186.75,203.25
341,10367.json,text_view,87.75,167.75,203.25,219.75
342,10367.json,separator_line,4.5,355.5,235.25,236.25
343,10367.json,image_view,4.5,83.25,240.25,297.25
344,10367.json,text_view,87.75,351.0,252.25,268.75
345,10367.json,text_view,87.75,167.75,268.75,285.25
346,10367.json,separator_line,4.5,355.5,300.75,301.75
347,10367.json,image_view,4.5,83.25,305.75,362.75
348,10367.json,text_view,87.75,351.0,317.75,334.25
349,10367.json,text_view,87.75,270.75,334.25,350.75
350,10367.json,separator_line,4.5,355.5,366.25,367.25
351,10367.json,image_view,4.5,83.25,371.25,428.25
352,10367.json,text_view,87.75,351.0,383.25,399.75
353,10367.json,text_view,87.75,167.75,399.75,416.25
354,10367.json,separator_line,4.5,355.5,431.75,432.75
355,10367.json,image_view,4.5,83.25,436.75,493.75
356,10367.json,text_view,87.75,351.0,448.75,465.25
357,10367.json,text_view,87.75,301.25,465.25,481.75
358,10367.json,separator_line,4.5,355.5,497.25,498.25
359,10367.json,image_view,4.5,83.25,502.25,559.25
360,10367.json,text_view,87.75,351.0,514.25,530.75
361,10367.json,text_view,87.75,167.75,530.75,547.25
362,10367.json,separator_line,4.5,355.5,562.75,563.75
363,10367.json,image_view,4.5,83.25,567.75,598.0
364,10367.json,text_view,87.75,351.0,579.75,596.25
365,10367.json,text_view,87.75,167.75,596.25,598.0
366,10367.json,icon_button,0.0,14.0,21.0,63.0
367,10367.json,image_view,10.75,31.75,31.5,52.5
368,10367.json,text_view,43.5,274.25,25.5,57.0
369,10367.json,image_view,274.25,307.0,25.5,57.0
370,15165.json,text_view,63.0,138.5,33.75,57.0
371,15165.json,icon_button,0.0,49.0,21.0,70.0
372,15165.json,text_view,282.75,360.0,24.5,66.5
373,15165.json,name,13.25,346.75,87.75,118.75
374,15165.json,text_view,13.25,87.75,127.25,146.25
375,15165.json,check_box,87.75,217.25,121.5,152.25
376,15165.json,check_box,217.25,346.75,121.5,152.25
377,15165.json,separator_line,13.25,346.75,161.0,162.0
378,15165.json,text_view,13.25,87.75,188.0,205.75
379,15165.json,image_button,87.75,147.25,167.25,226.75
380,15165.json,separator_line,13.25,346.75,233.75,234.75
381,15165.json,text_view,13.25,87.75,248.0,265.75
382,15165.json,text_view,87.75,346.75,249.75,265.25
383,15165.json,separator_line,13.25,346.75,279.0,280.0
384,15165.json,sign_up,13.25,346.75,293.25,337.0
385,15165.json,tb_privacy_terms,48.5,311.25,350.25,364.5
386,15165.json,gender_picker,87.0,349.0,119.66666666666667,154.33333333333334
387,15165.json,date_picker,87.0,348.3333333333333,249.0,267.0
388,35880.json,icon_button,11.0,33.0,31.75,51.0
389,35880.json,text_view,61.25,298.75,28.0,55.0
390,35880.json,separator_line,0.0,360.0,61.75,62.25
391,35880.json,location,17.5,342.5,78.0,120.0
392,35880.json,text_view,17.5,49.0,130.5,175.75
393,35880.json,phone_number,48.25,342.5,134.0,175.75
394,35880.json,separator_line,49.0,342.5,175.75,177.5
395,35880.json,image_view,17.5,38.5,209.0,230.0
396,35880.json,password,49.66666666666667,343.1666666666667,197.41666666666666,239.41666666666666
397,35880.json,separator_line,49.0,342.5,238.75,240.5
398,35880.json,button,14.0,346.0,273.75,315.75
399,15535.json,log_in,107.0,252.75,461.5,496.5
400,15535.json,sign_up,107.0,252.75,417.75,452.75
401,15535.json,text_view,107.0,252.75,365.5,382.75
402,15535.json,image_view,136.25,223.75,251.75,339.25
403,34546.json,text_view,0.0,360.0,366.25,455.25
404,34546.json,tb_privacy_terms,0.0,360.0,455.25,487.5
405,34546.json,sign_up,8.75,351.25,496.25,538.25
406,34546.json,log_in,8.75,351.25,547.25,589.25
407,34546.json,image_view,86.33333333333333,273.6666666666667,83.66666666666667,242.33333333333334
408,53882.json,tb_log_in,14.0,172.75,84.0,103.0
409,53882.json,email,14.0,346.0,126.5,153.5
410,53882.json,password,14.0,346.0,177.0,204.0
411,53882.json,forgot_password,105.0,243.25,240.0,273.25
412,53882.json,separator_line,0.0,360.0,295.0,296.0
413,53882.json,text_view,14.0,207.5,310.0,345.5
414,53882.json,sign_up,14.0,136.0,366.5,401.5
415,53882.json,text_view,52.5,106.25,33.75,57.0
416,53882.json,menu_dashs,0.0,49.0,21.0,70.0
417,53882.json,log_in,15.666666666666668,89.0,240.33333333333334,273.0
418,58667.json,text_view,14.0,346.0,35.0,84.0
419,58667.json,name,14.0,346.0,104.0,141.25
420,58667.json,last_name,14.0,346.0,161.25,198.5
421,58667.json,email,14.0,346.0,218.5,255.75
422,58667.json,sign_up,61.75,298.0,269.75,329.25
423,58667.json,separator_line,79.25,127.25,352.0,353.0
424,58667.json,text_view,127.25,232.5,336.25,359.75
425,58667.json,separator_line,232.5,280.5,352.0,353.0
426,58667.json,fb_button,72.25,130.0,373.75,431.5
427,58667.json,sm_button,151.0,208.75,373.75,431.5
428,58667.json,sm_button,229.75,287.5,373.75,431.5
429,58667.json,tb_log_in,73.5,286.25,449.0,478.75
430,33329.json,price,9.0,87.5,64.5,86.5
431,33329.json,price,96.75,175.25,64.5,86.5
432,33329.json,price,184.5,263.0,64.5,86.5
433,33329.json,price,272.25,350.75,64.5,86.5
434,33329.json,separator_line,0.0,360.0,91.25,91.5
435,33329.json,image_view,0.0,360.0,91.5,96.0
436,33329.json,separator_line,0.0,360.0,96.0,96.25
437,33329.json,text_view,0.0,82.0,102.5,121.5
438,33329.json,separator_line,82.0,315.25,111.5,112.5
439,33329.json,text_view,315.25,335.75,106.0,117.75
440,33329.json,image_view,340.25,346.75,107.0,116.75
441,33329.json,image_view,9.0,87.5,128.0,207.0
442,33329.json,discount,61.25,87.5,128.0,157.0
443,33329.json,price,9.0,87.5,211.25,233.25
444,33329.json,image_view,96.75,175.25,128.0,207.0
445,33329.json,discount,149.0,175.25,128.0,157.0
446,33329.json,price,96.75,175.25,211.25,233.25
447,33329.json,image_view,184.5,263.0,128.0,207.0
448,33329.json,discount,236.75,263.0,128.0,157.0
449,33329.json,price,184.5,263.0,211.25,233.25
450,33329.json,image_view,272.25,350.75,128.0,207.0
451,33329.json,discount,324.5,350.75,128.0,157.0
452,33329.json,price,272.25,350.75,211.25,233.25
453,33329.json,separator_line,0.0,360.0,238.0,238.25
454,33329.json,image_view,0.0,360.0,238.25,242.75
455,33329.json,separator_line,0.0,360.0,242.75,243.0
456,33329.json,text_view,0.0,64.0,249.25,268.25
